Invoice/Item Number,Date,Store Name,Address,City,Zip Code,County,Category Name,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,Bottles Sold,Sale,Volume Sold (Liters)
INV-43744600028,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,STRAIGHT BOURBON WHISKIES,jim beam brands,19070,jim beam pet,1750.0,21.5,6,193.5,10.5
INV-43470800055,2022-01-03,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,POLK,AMERICAN BRANDIES,e & j gallo winery,52596,e & j vs,750.0,6.5,12,117.0,9.0
INV-43763700076,2022-01-13,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,BREMER,AMERICAN DRY GINS,luxco inc,31657,paramount gin,1000.0,4.3,2,12.9,2.0
INV-43753300123,2022-01-13,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,100% AGAVE TEQUILA,E & J GALLO WINERY,87643,FAMILIA CAMARENA SILVER,750.0,12.5,12,225.0,9.0
INV-43592500105,2022-01-07,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,DUBUQUE,CREAM LIQUEURS,e & j gallo winery,73051,rumchata mini,50.0,8.87,6,79.86,0.3
INV-43534900146,2022-01-05,HY-VEE  #2 / AMES,640 LINCOLNWAY,AMES,50010,STORY,TRIPLE SEC,LUXCO INC,86506,PARAMOUNT TRIPLE SEC,750.0,3.42,12,61.56,9.0
INV-43525200004,2022-01-04,HY-VEE WINE AND SPIRITS / WATERLOO,2126 KIMBALL AVE,WATERLOO,50701,BLACK HAWK,AMERICAN SCHNAPPS,sazerac company  inc,84226,99 strawberries mini,50.0,5.16,10,77.4,0.5
INV-43555700114,2022-01-05,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,FLAVORED RUM,jim beam brands,44499,cruzan mango,750.0,7.0,6,63.0,4.5
INV-43735600136,2022-01-12,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,STRAIGHT BOURBON WHISKIES,four roses distillery,18352,four roses bourbon,750.0,,12,225.0,9.0
INV-43549900011,2022-01-05,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,MIXTO TEQUILA,LUXCO INC,89387,JUAREZ GOLD,,7.83,24,282.0,24.0
INV-43537400012,2022-01-05,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POLK,CREAM LIQUEURS,E & J GALLO WINERY,73052,RUMCHATA,,,2,24.0,0.75
INV-43844200093,2022-01-17,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,BUENA VIST,AMERICAN BRANDIES,sazerac company  inc,56793,paul masson apple grande amber brandy,750.0,6.41,2,19.24,1.5
INV-43735400014,2022-01-12,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,IMPORTED VODKAS,bacardi usa inc,34423,grey goose,375.0,8.5,3,38.25,1.12
INV-43721600003,2022-01-12,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,STORY,SINGLE MALT SCOTCH,PERNOD RICARD USA,5037,GLENLIVET 12YR,1000.0,30.48,4,182.88,4.0
INV-43827600040,2022-01-17,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,COCKTAILS /RTD,mhw ltd,67075,twisted shotz sex on the beach,1800.0,54.18,1,81.27,1.8
INV-43745900057,2022-01-12,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360,DICKINSON,AMERICAN CORDIALS & LIQUEUR,luxco inc,79026,arrow creme de menthe green,750.0,,4,28.44,3.0
INV-43827300068,2022-01-17,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POLK,BLENDED WHISKIES,jim beam brands,25878,sunny brook blend whiskey,1750.0,8.0,18,216.0,31.5
INV-43725600013,2022-01-12,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,JOHNSON,WHITE RUM,jim beam brands,44516,cruzan light,750.0,,4,42.0,3.0
INV-43696000037,2022-01-11,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401,CARROLL,IMPORTED VODKAS,pernod ricard usa,34007,absolut swedish vodka 80prf,,14.99,12,269.88,12.0
INV-43757400003,2022-01-13,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,BLACK HAWK,CANADIAN WHISKIES,diageo americas,11298,crown royal,1750.0,32.99,6,296.94,10.5
INV-43771500001,2022-01-13,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,IRISH WHISKIES,pernod ricard usa,915860,ha redbreast 15yr,750.0,99.94,1,149.91,0.75
INV-43736800069,2022-01-12,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,LINN,AMERICAN FLAVORED VODKA,DIAGEO AMERICAS,77847,SMIRNOFF VANILLA,750.0,8.25,12,148.56,9.0
